INTL_20160320_000001	+1 zusätzlicher Eintritt für Missionen und Dungeons
INTL_20160419_000015	Rechtsklick um folgende Gegenstände zu erhalten:{nl} - 266 TP{nl} - Token (30 Tage){nl} - Haarschmuck - Popolion Puppe{nl}
INTL_20160425_000016	Gibt allen Charaktern auf dem Server Token Vorteile für 60 Tage. Rechtsklick zum verwenden.{nl}[Token Vorteile]{nl} - Fähigkeiten ohne Wartezeit erlernbar{nl} - Reduziert die Markt-Gebühr (30%{img white_right_arrow 16 16}10%){nl} - Bis zu 10 Gegenstände im Markt anbieten{nl} - +3 Bewegungsgeschwindigkeit{nl} - +20% EXP von besiegten Monstern{nl} - Fähig Premium-Gesten zu verwenden{nl} - Erhöht den Max Buff-Zähler{nl} - Anzahl möglicher persönlicher Handel 60 mal
INTL_20160425_000017	Gibt allen Charaktern auf dem Server Token Vorteile für 30 Tage. Rechtsklick zum verwenden.{nl}[Token Vorteile]{nl} - Fähigkeiten ohne Wartezeit erlernbar{nl} - Reduziert die Markt-Gebühr (30%{img white_right_arrow 16 16}10%){nl} - Bis zu 10 Gegenstände im Markt anbieten{nl} - +3 Bewegungsgeschwindigkeit{nl} - +30% EXP von besiegten Monstern{nl} - Fähig Premium-Gesten zu verwenden{nl} - Erhöht den Max Buff-Zähler{nl} - Fähig bis zu 30 mal persönlich zu handeln{nl} - 1 Extra-Eintritt für Missionen und Dungeons
INTL_20160425_000018	Gibt allen Charaktern auf dem Server Token Vorteile für 60 Tage. Rechtsklick zum verwenden.{nl}[Token Vorteile]{nl} - Fähigkeiten ohne Wartezeit erlernbar{nl} - Reduziert die Markt-Gebühr (30%{img white_right_arrow 16 16}10%){nl} - Bis zu 10 Gegenstände im Markt anbieten{nl} - +3 Bewegungsgeschwindigkeit{nl} - +30% EXP von besiegten Monstern{nl} - Fähig Premium-Gesten zu verwenden{nl} - Erhöht den Max Buff-Zähler{nl} - Anzahl möglicher persönlicher Handel 60 mal{nl} - 1 Extra-Eintritt für Missionen und Dungeons
INTL_20160426_000019	Gewährt Token Vorteile all deine Charaktere auf einem Server für 60 Tage. Rechtsklick zum verwenden.{nl}[Token Vorteile]{nl} - Kann zwei Fähigkeiten gleichzeitig lernen{nl} - Reduzierte Markt Provision (30% {img white_right_arrow 16 16} 10%){nl} - Möglichkeit bis zu 5 Gegenstände im Markt zu listen{nl} - +3 erhöhte Charakter Bewegungsgeschwindigkeit{nl} - +30% EXP von der Monsterjagd{nl}(Stackt mit dem EXP Tome Effekt){nl} - Kann Premium-Gesten verwenden{nl} - Erhöht maximalen Buff-Zähler{nl} - Anzahl möglicher persönlicher Handel 60 mal{nl}
INTL_20160426_000020	Gibt allen Charaktern auf dem Server Token Vorteile für 30 Tage. Rechtsklick zum verwenden.{nl}[Token Vorteile]{nl} - Im Stande Eigenschaften sofort zu lernen{nl} - Reduzierte Markt Provision (30% {img white_right_arrow 16 16} 10%){nl} - Möglichkeit bis zu 10 Gegenstände im Markt zu listen{nl} - +3 erhöhte Bewegungsgeschwindigkeit{nl} - +30% EXP von der Monsterjagd{nl} - Kann Premium-Gesten verwenden{nl} - Erhöht maximalen Buff-Zähler{nl} - Anzahl möglicher persönlicher Handel 30 mal{nl} - 1 zusätzlicher Instanz Eintrag für Missionen und Dungeons
INTL_20160426_000021	Gewährt Token Vorteile all deine Charaktere auf einem Server für 60 Tage. Rechtsklick zum verwenden.{nl}[Token Vorteile]{nl} - Kann zwei Fähigkeiten gleichzeitig lernen{nl} - Reduzierte Markt Provision (30% {img white_right_arrow 16 16} 10%){nl} - Möglichkeit bis zu 10 Gegenstände im Markt zu listen{nl} - +3 erhöhte Charakter Bewegungsgeschwindigkeit{nl} - +30% EXP von der Monsterjagd{nl}(Stackt mit dem EXP Tome Effekt){nl} - Kann Premium-Gesten verwenden{nl} - Erhöht maximalen Buff-Zähler{nl} - Anzahl möglicher persönlicher Handel 60 mal{nl} - 1 zusätzlicher Instanz Eintrag für Missionen und Dungeons
INTL_20160512_000022	Verwenden um folgende Gegenstände zu erhalten:{nl} - 190 TP{nl} - Token: 15 Tage{nl} - 20x Hochkondensierter HP & SP Trank{nl} - 15x Soul Crystal{nl} - 15x Megaphone{nl} - 15x Warp Scroll{nl}	
INTL_20160512_000023	Verwenden um 190 TP zu erhalten.
INTL_20160512_000024	Verwenden um folgende Gegenstände zu erhalten:{nl} - Token: 30 Tage{nl} - 4x Verzauberungs-Rolle{nl} - 5x Instanze Dungeon Reset Gutschein{nl}
INTL_20160728_000025	Gibt allen Charaktern auf dem Server Token Vorteile für 30 Tage. Rechtsklick zum verwenden.{nl}[Token Vorteile]{nl} - Im Stande Eigenschaften sofort zu lernen{nl} - Reduzierte Markt Provision (30% {img white_right_arrow 16 16} 10%){nl} - Im Stande bis zu 10 Gegenstände im Markt zu verkaufen{nl} - +3 erhöhte Bewegungsgeschwindigkeit{nl} - +30% EXP beim töten von Monstern{nl} - Im Stande Premium-Gesten zu verwenden{nl} - Erhöht maximalen Buff-Zähler{nl} - Silber sofort vom Markt abzurufen{nl} - Anzahl möglicher persönlicher Handel 30 mal{nl} - Verkauf außerhalb von Max./Min. Marktpreis erlaubt{nl} - 1 Extra-Eintritt für Missionen und Dungeons{nl} - 1 Kann in Team-Lager gelegt werden
INTL_20160728_000026	Gibt allen Charaktern auf dem Server Vorteile für 60 Tage. Rechtsklick zum verwenden.{nl}[Token Vorteile]{nl} - Im Stande Eigenschaften sofort zu lernen{nl} - Reduzierte Markt Provision (30% {img white_right_arrow 16 16} 10%){nl} - Im Stande bis zu 10 Gegenstände im Markt zu verkaufennl{nl} - +3 erhöhte Bewegungsgeschwindigkeit{nl} - +30% EXP beim töten von Monstern{nl} - Im Stande Premium-Gesten zu verwenden{nl} - Erhöht maximalen Buff-Zähler{nl} - Anzahl möglicher persönlicher Handel 60 mal{nl} - 1 Extra-Eintritt für Missionen und Dungeons
INTL_20160728_000027	Gibt allen Charaktern auf dem Server Vorteile für 30 Tage. Rechtsklick zum verwenden.{nl}[Token Vorteile]{nl} - Im Stande Eigenschaften sofort zu lernen{nl} - Reduzierte Markt Provision (30% {img white_right_arrow 16 16} 10%){nl} - Im Stande bis zu 10 Gegenstände im Markt zu verkaufennl{nl} - +3 erhöhte Bewegungsgeschwindigkeit{nl} - +30% EXP beim töten von Monstern{nl} - Im Stande Premium-Gesten zu verwenden{nl} - Erhöht maximalen Buff-Zähler{nl} - Anzahl möglicher persönlicher Handel 30 mal{nl} - 1 Extra-Eintritt für Missionen und Dungeons
INTL_20160728_000028	Gibt allen Charaktern auf dem Server Vorteile für 7 Tage. Rechtsklick zum verwenden.{nl}[Token Vorteile]{nl} - Im Stande Eigenschaften sofort zu lernen{nl} - Reduzierte Markt Provision (30% {img white_right_arrow 16 16} 10%){nl} - Im Stande bis zu 10 Gegenstände im Markt zu verkaufennl{nl} - +3 erhöhte Bewegungsgeschwindigkeit{nl} - +30% EXP beim töten von Monstern{nl} - Im Stande Premium-Gesten zu verwenden{nl} - Erhöht maximalen Buff-Zähler{nl} - 1 Extra-Eintritt für Missionen und Dungeons
INTL_20161107_000029	Rechtsklick um folgende Gegenstände zu erhalten:{nl} - 150x Highly Enriched HP Potion {nl} -  150x Highly Enriched SP Potion {nl}- 20x Honey Dumpling {nl}- 20x Settlement Support Potion{nl}- 10x Instance Clear Voucher {img star_mark 20 20}{nl}- 20x Soul Crystal{nl} - 30x Warp Scroll {nl}- 10x Enchant Scroll{nl} - 1x Skill Reset Potion{nl}- 1x Stat Reset Potion
INTL_20161114_000030	Marktverkäufe Zahlungsverzug von Silber: 24 Stunden.
INTL_20161114_000031	Verkäufe Zahlungsverzug von Silber mit Token: 1 Stunde.
INTL_20161114_000032	Verkäufe Zahlungsverzug von Silber mit Token: 24 Stunden.
INTL_20161121_000033	Rechtsklick auf Gegenstand um folgendes zu erhalten:{nl} - 100x Highly Condensed HP Potion {nl} -  100x Highly Condensed SP Potion {nl}- 10x Honey Dumpling {nl}- 10x Settlement Support Potion{nl}- 5x Instanced Clear Voucher {img star_mark 20 20}{nl} - 1x Skill Reset Potion{nl}- 1x Stat Reset Potion
INTL_20161214_000034	Token-Nutzer nicht betroffen.
INTL_20161214_000035	Wird der Token nach dem Handel auf dem Markt handelbar sein? (1: Tauschbar, 0: Nicht tauschbar)
INTL_20170510_000036	Rechtsklick um folgende Gegenstände zu erhalten:{nl} - Token: 7 Tage [Event]{nl} - Enchant Scroll (14 Tage) x10{nl} - Emote Plus: Popolion{nl}- Simple Costume Box{nl}- Imperial Fan (30 Tage){nl} - Red Beret{nl} - Light Salmon Dye{nl} - Crimson Contact Lenses{nl} - Lv2 Settlement Support Potion x10{nl} -Keista Restoration Potion Lv2 x20
INTL_20170605_000037	A crown created on behalf of a nameless queen.{nl} Can be exchanged for medals in the Exchange Shop.
INTL_20170605_000038	A tool made of long elastic material that, when effort is applied, produces power when rotated.{nl} Can be exchanged for medals in the Exchange Shop.
INTL_20170605_000039	A tool used to quickly bake bread.{nl} Can be exchanged for medals in the Exchange Shop.
INTL_20170605_000040	The most advanced way to convey information.{nl} Can be exchanged for medals in the Exchange Shop.
INTL_20170703_000041	Yes, turning your head about 270 degrees is possible!{nl}Can be exchanged for medals at the Exchange Shop.
INTL_20170703_000042	A small figurine carved by a Dievdirbys.{nl}Can be exchanged for medals at the Exchange Shop.
INTL_20170728_000043	SPARTAAAAA!!!{nl}Can be exchanged for medals at the Exchange Shop.
INTL_20170925_000044	Applies Token benefits to all your characters in the server for 30 days. Right-click to use.{nl}[Token Benefits]{nl} - Able to learn attributes instantaneously{nl} - Reduced Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 10 items on the Market{nl} - +3 increased character movement{nl} - +30% EXP from hunting monsters{nl} - Able to use Premium Gestures{nl} - Increased maximum buff count{nl} - Able to use Personal Trade up to 30 times{nl} - 1 extra instance entry for missions and dungeons	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 개인 거래 30회 가능{nl} - 미션,던전 1회 추가입장{nl} - 살러스 수녀원 미션 완료 보상 +1	INTL_20160728_000025	Applies Token benefits to all your characters in the server for 30 days. Right-click to use.{nl}[Token Benefits]{nl} - Able to learn attributes instantaneously{nl} - Reduced Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 10 items on the Market{nl} - +3 increased character movement{nl} - +30% EXP from hunting monsters{nl} - Able to use Premium Gestures{nl} - Increased maximum buff count{nl} - Able to use Personal Trade up to 30 times{nl} - 1 extra instance entry for missions and dungeons	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 개인 거래 30회 가능{nl} - 개인 거래 횟수 30회{nl} - 미션,던전 1회 추가입장	
INTL_20170925_000045	Applies Token benefits to all your characters in the server for 30 days. Right-click to use.{nl}[Token Benefits]{nl} - Able to learn attributes instantaneously{nl} - Reduced Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 10 items on the Market{nl} - +3 increased character movement{nl} - +30% EXP from hunting monsters{nl} - Able to use Premium Gestures{nl} - Increased maximum buff count{nl} - Able to use Personal Trade up to 30 times{nl} - 1 extra instance entry for missions and dungeons	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 30회 가능{nl} - 미션,던전 1회 추가입장{nl} - 살러스 수녀원 미션 완료 보상 +1	INTL_20160728_000027	Applies Token benefits to all your characters in the server for 30 days. Right-click to use.{nl}[Token Benefits]{nl} - Able to learn attributes instantaneously{nl} - Reduced Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 10 items on the Market{nl} - +3 increased character movement{nl} - +30% EXP from hunting monsters{nl} - Able to use Premium Gestures{nl} - Increased maximum buff count{nl} - Able to use Personal Trade up to 30 times{nl} - 1 extra instance entry for missions and dungeons	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 30회 가능{nl} - 미션,던전 1회 추가입장	
INTL_20170925_000046	Grants Token benefits to all your characters in the server for 60 days. Right-click to use.{nl}[Token Benefits]{nl} - Able to learn up to 2 attributes simultaneously{nl} - Reduced Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 10 items on the Market{nl} - +3 increased character movement speed{nl} - +30% EXP from hunting monsters{nl}(Stacks with the EXP Tome effect){nl} - Able to use Premium Gestures{nl} - Increased maximum buff count{nl} - Able to use Personal Trade up to 60 times{nl} - 1 extra instance entry for missions and dungeons	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 미션,던전 추가 1회 추가입장{nl} - 살러스 수녀원 미션 완료 보상 +1	INTL_20160426_000021	Grants Token benefits to all your characters in the server for 60 days. Right-click to use.{nl}[Token Benefits]{nl} - Able to learn up to 2 attributes simultaneously{nl} - Reduced Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 10 items on the Market{nl} - +3 increased character movement speed{nl} - +30% EXP from hunting monsters{nl}(Stacks with the EXP Tome effect){nl} - Able to use Premium Gestures{nl} - Increased maximum buff count{nl} - Able to use Personal Trade up to 60 times{nl} - 1 extra instance entry for missions and dungeons	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 미션,던전 추가 1회 추가입장	
INTL_20170925_000047	Applies Token benefits to all your characters in the server for 7 days. Right-click to use.{nl}[Token Benefits]{nl} - Able to learn attributes instantaneously{nl} - Reduced Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 10 items on the Market{nl} - +3 increased character movement{nl} - +30% EXP from hunting monsters{nl} - Able to use Premium Gestures{nl} - Increased maximum buff count{nl} - 1 extra instance entry for missions and dungeons	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 7일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 미션,던전 1회 추가입장{nl} - 살러스 수녀원 미션 완료 보상 +1	INTL_20160728_000028	Applies Token benefits to all your characters in the server for 7 days. Right-click to use.{nl}[Token Benefits]{nl} - Able to learn attributes instantaneously{nl} - Reduced Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 10 items on the Market{nl} - +3 increased character movement{nl} - +30% EXP from hunting monsters{nl} - Able to use Premium Gestures{nl} - Increased maximum buff count{nl} - 1 extra instance entry for missions and dungeons	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 7일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 미션,던전 1회 추가입장	
